name,latitude,longitude,category,landmark,barangay,city,province
"McDonald's San Vicente San Pedro Branch",14.344064197618524,121.03893947413565,food,PILI,"San Vicente","CITY OF SAN PEDRO",LAGUNA
Jollibee,14.363696738021536,121.05732932905568,food,PILI,Poblacion,"CITY OF SAN PEDRO",LAGUNA
Jollibee,14.341135594258992,121.08688400163926,food,"bahay ni rizal",Poblacion,"CITY OF BIÑAN",LAGUNA
Jollibee,14.339929828524456,121.08184144897602,food,"bus station","De La Paz","CITY OF BIÑAN",LAGUNA
Jollibee,14.333568266690602," 121.0826139251137",food,"centro mall","San Vicente","CITY OF BIÑAN",LAGUNA
Jollibee,14.330158727626678,121.08862207289044,food,pavilion,"Santo Niño","CITY OF BIÑAN",LAGUNA
Jollibee,14.328661840558935," 121.08763502004784",food,pav,"Santo Niño","CITY OF BIÑAN",LAGUNA
"McDonald's Binan Canlalay",14.348461913573654,121.06658093053268,food,PUP,Canlalay,"CITY OF BIÑAN",LAGUNA
"McDonald's Southwood Ecocentrum",14.33458220205728,121.05124417844051,food,SLEX,"San Francisco (Halang)","CITY OF BIÑAN",LAGUNA
Kfc,"10.723199206068404, ",122.56014904773396,food,"robinson jaro","San Jose (Jaro)","ILOILO CITY (Capital)",ILOILO
Kfc,"10.695862004647905,"," 122.56521654092678",food,"robinson iloilo","San Jose (City Proper)","ILOILO CITY (Capital)",ILOILO
Kfc,"10.717917876427721,"," 122.54554331250515",food,"festive mall","Airport (Tabucan Airport)","ILOILO CITY (Capital)",ILOILO
Jollibee,"10.730446690414965, ",122.55944313611322,food,"near jaro river","Tabuc Suba (Jaro)","ILOILO CITY (Capital)",ILOILO
"JOLLIBEE CABIAO",15.249741229523353,120.85809797627033,food,"Saint John Nepomucene","San Juan North (Pob.)",CABIAO,"NUEVA ECIJA"
"Jollibee San Isidro",15.309353167167997,120.90603499583635,food,"Beside Superbikes Center",Poblacion,"SAN ISIDRO","NUEVA ECIJA"
"zrr flower shop",13.256965291065686,123.50338781252503,food,"aleco office  KAPI","Iraya Norte",OAS,ALBAY
"MCDONALDS Tuguegarao City",17.65355480000,121.7429560000,food,Carig,Carig,"TUGUEGARAO CITY (Capital)",CAGAYAN
Jollibee,13.413718481290084,121.1841656482855,food,"Roxas Drive","Ilaya (Pob.)","CITY OF CALAPAN (Capital)","ORIENTAL MINDORO"
Chowking,13.413593247372287,121.18427293663895,food,"CityMall, Roxas Drive","Ilaya (Pob.)","CITY OF CALAPAN (Capital)","ORIENTAL MINDORO"
"Mang Inasal",13.413634992018808,121.18427293663895,food,"CityMall, Roxas Drive","Ilaya (Pob.)","CITY OF CALAPAN (Capital)","ORIENTAL MINDORO"
"Jollibee ",16.44758662151106,120.59080973266822,food,"Km5 Pico LTB, Km5, Baguio - La Trinidad - Bontoc Rd, Pico, La Trinidad, 2601 Benguet",Pico,"LA TRINIDAD (Capital)",BENGUET
"McDonald's La Trinidad",16.450137579904467,120.59072882874506,food,"KM 5 La Trinidad-baguio-bontoc Road, Pico, La Trinidad, 2601 Benguet",Pico,"LA TRINIDAD (Capital)",BENGUET
"Mang Inasal",16.44333930630381,120.59204991465089,food,"Km4 G/F Tiongsan, La Trinidad, 2601 Benguet",Pico,"LA TRINIDAD (Capital)",BENGUET
Chowking,16.445337937405014,120.59141258579176,food,"Km 4, Savemore Market Building, Pico, La Trinidad, 2601 Benguet",Pico,"LA TRINIDAD (Capital)",BENGUET
"Burger King",10.758599392494366,122.55123098295478,food,"sm city iloilo",Bolilao,"ILOILO CITY (Capital)",ILOILO
